CRN,Course,Professor,A  (90-100),B  (80-89),C  (70-79),D  (60-69),F <60,WF,A- WF,DWF,W,CRS AVG,Other,Total,Instruction Method
50002,KH 3550,"Brandon, Leslie",6,5,5,1,0,0,17,15.0,2,3.00,1,20,T
50004,KH 4290,"Ingalls, Christopher",5,8,1,2,1,0,17,17.7,0,2.82,0,17,T
50005,ACCT 2101,"Mi, Danya",11,5,9,1,4,0,30,26.5,4,2.63,0,34,T
50006,ACCT 2101,"Clark, Kris",9,10,7,3,3,0,32,18.2,0,2.66,1,33,T
50007,ACCT 2101,"Clark, Kris",13,9,13,1,3,0,39,18.2,4,2.77,1,44,T
50008,ACCT 2102,"Yang, Fan",11,14,11,2,4,0,42,25.0,6,2.60,0,48,T
50009,ACCT 2102,"Yang, Fan",6,10,17,1,3,1,38,19.5,3,2.34,0,41,T
50010,ACCT 4210,"Xu, Ke",4,11,4,0,1,0,20,13.6,2,2.70,0,22,T
50011,ACCT 4310,"Smith, Gary",12,4,1,0,0,0,17,5.6,1,3.65,0,18,T
50012,ACCT 4310,"Smith, Gary",8,6,0,0,0,0,14,0.0,0,3.57,0,14,T
50017,ACCT 8391,"Sevcik, Galen",7,2,0,0,0,0,9,0.0,0,4.00,0,9,F
50019,AL 3021,"Barton, Jamila",6,5,3,0,1,0,15,12.5,1,2.93,0,16,T
50025,AL 8940,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,9,9,T
50026,AL 8940,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,8,8,T
50034,ART 6400,"Drennen, Anthony",0,0,0,0,0,0,0,0.0,0,,8,8,T
50037,AS 8389,"Akcin, Haci",8,0,0,0,0,0,8,0.0,0,3.75,0,8,T
50049,BA 8510,"Widman, Tracy",0,0,0,0,0,0,0,0.0,0,,134,134,T
50051,BA 9000,"Lambert, Lisa",0,0,0,0,0,0,0,0.0,0,,55,55,T
50052,BA 9500,"Lambert, Lisa",0,0,0,0,0,0,0,7.7,1,,12,13,T
50053,BA 9510,",",0,0,0,0,0,0,0,0.0,0,,13,13,T
50054,BCOM 3950,"Cross, Marcia",17,4,2,0,3,0,26,14.8,1,3.27,0,27,T
50055,BCOM 3950,"Merritt, Necole",17,6,2,1,0,0,26,10.7,2,3.42,0,28,T
50056,BCOM 3950,"Guthrie, Kenneth",8,10,2,0,1,0,21,4.6,0,3.19,1,22,T
50057,BCOM 3950,"Pearson, Nicole",6,10,5,2,1,0,24,18.5,2,2.71,1,27,T
50058,BIOL 2310,"Maxwell, Robert",5,1,0,0,0,0,6,0.0,0,3.83,0,6,T
50059,BIOL 2310,"Maxwell, Robert",13,8,2,0,0,0,23,0.0,0,3.43,0,23,T
50060,BIOL 3810,"Cruz, Francisco",16,4,0,0,0,0,20,0.0,0,3.80,0,20,T
50061,BIOL 3840,"Reber, Amy",8,7,6,2,1,0,24,12.0,0,2.83,1,25,T
50062,BIOL 3890,"Maxwell, Robert",8,7,6,0,0,0,21,8.7,2,3.14,0,23,T
50063,BIOL 3890,"Maxwell, Robert",7,3,1,0,1,0,12,8.3,0,3.33,0,12,T
50065,BIOL 3910,"Maxwell, Robert",8,8,1,0,1,0,18,10.5,1,3.17,0,19,T
50067,BIOL 4970,"Chapman, Rebekah",0,0,0,0,0,0,0,6.3,2,,30,32,T
50069,BIOL 7802,"Blaustein, David",0,0,0,0,0,0,0,0.0,0,,6,6,T
50079,BUSA 2106,"Binder, Perry",4,17,9,5,1,0,36,15.8,0,2.53,2,38,T
50080,BUSA 2106,"Binder, Perry",10,17,10,1,0,0,38,9.8,3,2.89,0,41,T
50081,BUSA 2106,"Thielman, John",13,17,8,0,0,0,38,2.6,1,3.18,0,39,T
50082,BUSA 3000,"Doria, Evaristo",10,29,4,0,0,0,43,0.0,0,3.19,1,44,T
50083,BUSA 3000,"Napier, Elizabeth",14,8,1,0,0,1,24,11.1,2,3.42,1,27,T
50084,BUSA 3000,"Carrillo, Pedro",17,16,1,1,1,0,36,5.6,0,3.28,0,36,T
50085,BUSA 4980,"Dionne, Steven",13,24,6,0,0,0,43,0.0,0,3.14,0,43,T
50086,CHEM 1211 K,"Thota, Jyotsna",14,16,12,0,0,0,42,4.3,2,3.07,3,47,T
50087,CHEM 1211 K,"Thota, Jyotsna",17,13,7,2,0,0,39,9.1,2,3.23,3,44,T
50088,CHEM 1212 K,"Lecroix, Brian",13,20,13,0,0,0,46,2.1,1,3.00,1,48,T
50089,CHEM 3110,"Pascoe, Keith",9,10,14,0,0,0,33,0.0,0,2.97,1,34,T
50092,CHEM 4600,"Mariani, Victoria",14,31,39,0,2,0,86,9.6,7,2.66,1,94,T
50096,CHEM 6600,"Mariani, Victoria",2,8,3,0,0,0,13,6.7,1,3.08,1,15,T
50118,CIS 2010,"Maier, Thomas",4,8,7,1,1,0,21,13.6,1,2.52,0,22,T
50120,CIS 2010,"Maier, Thomas",4,6,2,0,2,0,14,13.3,0,2.71,1,15,T
50132,CSC 3210,"Khanal, Aashis",5,4,2,0,0,0,11,0.0,0,3.27,1,12,T
50153,ENGL 1101,"Hagan, Andrew",5,7,1,4,2,0,19,31.6,0,2.42,0,19,T
50154,ENGL 1101,"Marshall, Daniel",19,2,0,0,1,0,22,8.7,1,3.77,0,23,T
50155,ENGL 1102,"Pine, Ryan",10,9,2,0,2,0,23,12.0,1,3.09,1,25,T
50156,ENGL 1102,"Dong, Lin",7,4,1,0,2,0,14,13.3,0,3.00,1,15,T
50157,ENGL 1102,"Trulock, Todd",8,6,1,0,0,0,15,10.0,2,3.40,3,20,T
50158,ENGL 1102,"Christie, Angela",10,10,1,1,1,0,23,12.0,1,3.13,1,25,T
50159,ENGL 1102,"Brown, Murray",4,12,1,0,0,0,17,10.0,2,3.18,1,20,T
50160,ENGL 1102,"Carter, Sarah",2,10,6,1,3,0,22,17.4,0,2.45,1,23,T
50161,ENGL 1102,"Burns, Robert",9,11,2,1,0,0,23,8.3,1,3.17,0,24,T
50162,ENGL 1102,"Fentem, Donald",7,7,3,1,2,0,20,21.7,2,2.75,1,23,T
50163,ENGL 4500,"Snow, Malinda",8,1,0,0,0,0,9,0.0,0,3.78,0,9,T
50164,ENGL 8999,"Kocela, Christopher",0,0,0,0,0,0,0,0.0,0,,55,55,T
50166,ENGL 9030,"Kocela, Christopher",0,0,0,0,0,0,0,1.3,1,,76,77,T
50167,FI 3300,"Fendler, Richard",8,17,13,0,1,0,39,5.0,1,2.79,0,40,T
50168,FI 3300,"Huang, Lixin",2,15,12,1,1,2,33,14.3,1,2.33,1,35,T
50169,FI 3300,"Ruff, Craig",9,15,12,3,2,0,41,16.3,2,2.66,0,43,T
50170,FI 3300,"Haghbaali, Mehdi",4,13,13,2,1,0,33,11.4,1,2.48,1,35,T
50171,FI 4000,"Chen, Mark",11,19,4,0,0,0,34,0.0,0,3.18,0,34,T
50172,FI 4020,"Beard, David",6,4,3,0,0,0,13,7.1,1,3.23,0,14,T
50174,FI 8389,"Gay, Gerald",4,0,0,0,0,0,4,16.7,1,4.00,1,6,T
50175,FREN 1001,"Mir-Mohammad-Sadeghi, Soheila",10,5,1,0,0,0,16,15.8,3,3.75,0,19,T
50176,FREN 2001,"Buteau, Emmanuel",7,4,1,1,0,0,13,14.3,1,3.38,0,14,T
50202,HA 8810,"Cameron, Marie",0,0,0,0,0,0,0,0.0,0,,9,9,T
50204,HADM 3010,"Kim, Soon-Ho",59,3,0,2,0,0,64,4.6,1,3.94,0,65,F
50207,HIST 1111,"Terry, David",11,8,1,0,1,0,21,4.8,0,3.33,0,21,T
50208,HIST 2110,"Johnson, Timothy",9,6,4,1,0,0,20,5.0,0,3.15,0,20,T
50209,HIST 2110,"Johnson, Timothy",4,11,3,0,1,0,19,14.3,2,2.95,0,21,T
50210,HIST 2110,"Conner, Robin",7,6,5,0,1,0,19,14.3,2,2.95,0,21,T
50213,HIST 8680,"Wilson, Kathryn",0,0,0,0,0,0,0,0.0,0,,7,7,T
50217,HIST 9999,"Cummings, Alexander",0,0,0,0,0,0,0,0.0,0,,35,35,T
50220,IB 8400,"Bello, Daniel",5,2,0,0,0,0,7,0.0,0,3.71,0,7,E
50221,IB 8400,"Bello, Daniel",5,2,0,0,0,0,7,0.0,0,3.86,0,7,E
50224,JOUR 4980,"Barthlow, Douglas",13,7,3,0,0,0,23,3.7,1,3.39,3,27,T
50229,MATH 1070,"Wei, Guanhao",27,22,9,6,4,0,68,21.3,6,2.96,1,75,T
50232,MATH 1101,"Alexander, Margo",12,17,9,0,2,0,40,11.6,3,2.98,0,43,T
50233,MATH 1101,"Alexander, Margo",5,5,1,0,0,0,11,0.0,0,3.55,0,11,T
50234,MATH 1101,"Rozier, Kelvin",23,19,9,4,6,0,61,31.7,15,2.85,3,79,E
50235,MATH 1111,"Van Der Holst, Hendricus",25,5,1,1,1,0,33,15.4,4,3.58,2,39,T
50236,MATH 1113,"Van Der Holst, Hendricus",12,13,7,2,0,0,34,11.1,2,3.06,0,36,T
50237,MATH 2211,"Li, Zhongshan",15,5,2,1,1,0,24,29.0,7,3.29,0,31,T
50238,MATH 2211,"Adams, Francis",18,6,5,1,7,0,37,31.8,6,2.86,1,44,T
50239,MATH 2211,"Akbas, Erol",19,8,7,2,1,0,37,25.5,9,3.24,1,47,T
50240,MATH 2212,"Akbas, Erol",14,7,7,7,2,0,37,33.3,5,2.70,0,42,T
50241,MATH 2212,"Grinshpon, Mark",7,6,5,3,6,0,27,39.4,4,2.26,2,33,T
50242,MATH 2420,"Ilioaea, Irina-Georgeana",20,6,2,1,3,0,32,23.7,5,3.38,1,38,T
50243,MATH 3000,"Miller, Valerie",1,3,6,3,1,0,14,33.3,1,2.00,0,15,T
50244,MATH 4435,"Miller, Valerie",0,2,2,1,2,0,7,60.0,6,1.57,2,15,T
50245,MATH 4752,"Harden, Donald",3,1,1,1,0,0,6,37.5,2,3.00,0,8,T
50247,MATH 6435,"Miller, Valerie",1,2,2,1,0,0,6,28.6,1,2.67,0,7,T
50252,MK 3010,"Lohtia, Ritu",5,6,1,0,1,0,13,20.0,2,3.15,0,15,T
50253,MK 3010,"Pilling, Bruce",3,11,6,2,0,0,22,9.1,0,2.59,0,22,T
50254,MK 3010,"Johnston, Wesley",14,9,1,0,0,0,24,3.9,1,3.54,1,26,T
50256,MK 4330,"Curasi, Carolyn",4,19,8,0,0,0,31,3.1,1,2.84,0,32,T
