CRN,Course,Professor,A  (90-100),B  (80-89),C  (70-79),D  (60-69),F <60,WF,A- WF,DWF,W,CRS AVG,Other,Total,Instruction Method
10004,ACCT 2102,"Potts, Casey",29,58,95,37,20,0,239,29.2,18,2.18,0,257,T
10005,ACCT 4210,"Fasihi, Mohammad",17,11,0,0,2,0,30,6.7,0,3.47,0,30,T
10006,ACCT 4210,"Harroway, Freddie",4,6,2,1,2,0,15,29.4,2,2.67,0,17,T
10008,ACCT 4391,"Nathan, Siva",19,0,0,0,0,0,19,0.0,0,4.32,0,19,T
10014,AL 8920,"Cushing, Sara",0,0,0,0,0,0,0,0.0,0,,10,10,H
10016,AL 8940,"Cushing, Sara",0,0,0,0,0,0,0,0.0,0,,15,15,H
10017,ANTH 1102,"Kwoka, Joshua",30,16,12,9,9,0,76,28.9,6,2.70,1,83,T
10018,ANTH 2020,"Papavasiliou, Faidra",29,17,6,1,4,0,57,15.9,5,3.19,1,63,T
10021,ANTH 8065,"Black, Steven",0,0,0,0,0,0,0,0.0,0,,27,27,H
10039,APPF 1000,"Haydon, Geoffrey",5,0,0,0,0,0,5,14.3,1,4.20,1,7,H
10066,BA 8510,"Maurer, Todd",0,0,0,0,0,0,0,0.2,1,,441,442,T
10067,BA 9000,"Yao, Wenxiong",0,0,0,0,0,0,0,0.0,0,,37,37,T
10068,BA 9500,"Yao, Wenxiong",0,0,0,0,0,0,0,0.0,0,,16,16,T
10069,BA 9510,",",0,0,0,0,0,0,0,0.0,0,,15,15,T
10070,BCOM 3950,"May, Frank",7,12,3,2,1,0,25,21.4,3,2.84,0,28,T
10071,BCOM 3950,"Sims, Ashia",13,10,3,0,0,0,26,7.1,2,3.38,0,28,T
10072,BCOM 3950,"Cross, Marcia",16,7,2,0,0,0,25,10.7,3,3.52,0,28,T
10073,BCOM 3950,"Sandmeier, Miglena",16,4,2,1,2,0,25,21.4,3,3.28,0,28,T
10074,BCOM 3950,"Guthrie, Kenneth",2,13,5,2,6,0,28,28.6,0,2.07,0,28,T
10075,BCOM 3950,"Pearson, Joseph",20,5,1,0,0,0,26,7.1,2,3.81,0,28,T
10076,BCOM 3950,"Salary, Torian",15,5,4,0,2,0,26,17.2,3,3.23,0,29,T
10077,BCOM 3950,"Pearson, Joseph",13,10,4,0,0,0,27,3.6,1,3.41,0,28,T
10078,BCOM 3950,"Guthrie, Kenneth",2,14,5,2,3,0,26,25.0,2,2.42,0,28,T
10079,BCOM 3950,"Popowski, Sarah",1,12,5,1,5,0,24,33.3,3,2.13,0,27,T
10080,BIOL 3800,"Poole, Therese",18,18,7,0,6,0,49,15.4,2,2.88,1,52,T
10081,BIOL 3800,"Zhang, Hongmei",10,29,7,1,4,0,51,11.5,1,2.80,0,52,E
10082,BIOL 3810,"Cruz, Francisco",15,6,1,0,0,0,22,0.0,0,3.73,0,22,T
10083,BIOL 3810,"Espinola Estigarribia, Emilio Eduardo",20,3,1,0,0,0,24,0.0,0,3.92,0,24,T
10084,BIOL 3840,"Grober, Matthew",31,15,9,2,5,0,62,15.4,3,3.08,0,65,E
10085,BIOL 3900,"Maxwell, Robert",29,17,7,3,0,0,56,8.6,2,3.36,0,58,T
10086,BIOL 3900,"Shahbazi, Farideh",26,18,8,2,1,0,55,8.6,2,3.20,1,58,T
10087,BIOL 3910,"Maxwell, Robert",7,11,3,0,0,0,21,0.0,0,3.19,0,21,T
10089,BIOL 4970,"Oommen, Kavita",0,0,0,0,0,0,0,0.0,0,,57,57,E
10094,BIOL 7802,"Blaustein, David",0,0,0,0,0,0,0,0.0,0,,7,7,H
10106,BUSA 3000,"Eroglu, Sevgin",11,11,5,4,8,0,39,30.0,0,2.28,1,40,F
10109,BUSA 3000,"Williams, Donald",4,7,1,0,0,0,12,0.0,0,3.17,0,12,T
