CRN,Course,Professor,A  (90-100),B  (80-89),C  (70-79),D  (60-69),F <60,WF,A- WF,DWF,W,CRS AVG,Other,Total,Instruction Method
80001,ECON 2100,"Monteiro, Goncalo",15,1,0,0,0,0,16,0.0,0,4.06,0,16,E
80002,AAS 3050,"Harris, Alesha",3,3,0,0,1,0,7,14.3,0,3.00,0,7,E
80007,AL 8940,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,9,9,T
80011,ANTH 8065,"Patico, Jennifer",0,0,0,0,0,0,0,0.0,0,,31,31,T
80045,ART 1010,"Peragine, Joseph",7,2,7,2,0,0,18,15.0,1,2.89,1,20,T
80046,ART 1010,"Joshi, Heather",11,4,2,0,0,0,17,5.3,1,3.59,1,19,T
80047,ART 1010,"Castro, Felicia",14,1,1,1,0,0,17,5.9,0,3.71,0,17,T
80048,ART 1020,"Huang, Melissa",12,2,0,0,0,0,14,11.1,2,4.00,2,18,E
80049,ART 1030,"Mcclellan, Courtney",14,0,1,0,0,0,15,0.0,0,4.07,0,15,T
80050,ART 1030,"Kakavas, Nicholas",12,3,0,0,0,0,15,6.3,1,3.93,0,16,T
80051,ASTR 1000,"White, Russel",69,15,10,2,10,0,106,15.2,5,3.28,1,112,E
80056,BIOL 2300,"Beirne, Mark",8,27,26,6,0,0,67,35.8,28,2.54,0,95,T
80057,BIOL 3800,"Song, Chi-Sun",6,21,13,2,4,0,46,20.0,4,2.50,0,50,E
80058,BIOL 3810,"Sadhwani, Heena",15,2,2,0,0,0,19,13.6,3,3.74,0,22,T
80059,BIOL 3840,"Nusnbaum, Matthew",13,12,7,3,2,0,37,22.2,5,2.81,3,45,E
80060,BIOL 3880,"Maxwell, Robert",25,15,3,4,2,0,49,20.0,5,3.18,1,55,E
80061,BIOL 3900,"Oommen, Kavita",13,11,9,5,5,0,43,32.0,6,2.53,1,50,E
80062,BIOL 3900,"Oommen, Kavita",10,12,10,2,9,0,43,44.8,15,2.26,0,58,E
80063,BIOL 3910,"Maxwell, Robert",9,3,1,0,3,0,16,35.0,4,2.94,0,20,E
80064,BIOL 3910,"Maxwell, Robert",11,7,0,0,0,0,18,25.0,6,3.67,0,24,E
80066,BIOL 4744,"Bondarenko, Vladimir",15,6,3,1,0,0,25,17.2,4,3.48,0,29,E
80069,BIOL 6102,"Roseberry, Aaron",12,7,1,0,0,0,20,13.0,3,3.55,0,23,E
80071,BIOL 6744,"Bondarenko, Vladimir",2,5,3,0,0,0,10,0.0,0,2.80,0,10,E
80073,BIOL 7802,"Brewer, Matthew",0,0,0,0,0,0,0,0.0,0,,6,6,T
80079,BIOL 8620,"Brinton, Margo",2,4,1,1,0,0,8,11.1,0,3.00,1,9,E
80082,3DS 3150,"Sturgess, Robert",3,4,4,1,1,0,13,21.4,1,2.46,0,14,T
80092,CHEM 1211 K,"Wang, Danzhu",12,5,9,0,2,0,28,13.3,2,2.96,0,30,E
80093,CHEM 1211 K,"Mariani, Victoria",5,10,6,2,1,0,24,30.0,6,2.71,0,30,E
