CRN,Course,Professor,A  (90-100),B  (80-89),C  (70-79),D  (60-69),F <60,WF,A- WF,DWF,W,CRS AVG,Other,Total,Instruction Method
80001,ECON 2100,"Moore, Robert",11,2,1,0,0,0,14,0.0,0,3.86,0,14,T
80005,AL 8920,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,22,22,T
80006,AL 8930,"Belcher, Diane",0,0,0,0,0,0,0,4.6,1,,21,22,T
80007,AL 8940,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,25,25,T
80012,ANTH 8065,"Kozaitis, Kathryn",0,0,0,0,0,0,0,0.0,0,,29,29,T
80046,ART 1010,"Tolley, Michael",13,2,5,1,1,0,22,9.1,0,3.14,0,22,T
80047,ART 1010,"Wilson, Jiha",10,10,0,0,1,0,21,9.1,1,3.29,0,22,T
80048,ART 1010,"Camoosa, Joseph",10,3,0,0,0,0,13,11.8,2,3.85,2,17,T
80049,ART 1020,"Kroeppler, Karl",4,7,4,2,0,0,17,16.7,1,2.76,0,18,T
80050,ART 1030,"Sturgess, Robert",3,5,7,0,1,0,16,6.3,0,2.50,0,16,T
80051,ART 1030,"Newman, Hanna",10,3,2,1,1,0,17,11.8,0,3.18,0,17,T
80052,ASTR 1000,"McGimsey, Ben",15,12,16,6,9,0,58,27.4,2,2.29,2,62,T
80057,BIOL 2300,"Beirne, Mark",19,48,28,2,1,0,98,16.5,16,2.86,1,115,T
80058,BIOL 3800,"Song, Chi-Sun",10,4,11,4,3,0,32,28.6,3,2.47,0,35,H
80059,BIOL 3810,"Sitvarin, Michael",14,5,0,2,0,0,21,17.4,2,3.48,0,23,T
80060,BIOL 3840,"Nusnbaum, Matthew",10,22,11,8,2,0,53,24.1,4,2.55,1,58,H
80061,BIOL 3880,"Maxwell, Robert",21,12,6,2,0,0,41,13.3,4,3.32,0,45,T
80062,BIOL 3900,"Zellars, Malcolm",14,10,16,3,5,0,48,20.0,2,2.54,0,50,T
80063,BIOL 3900,"Zellars, Malcolm",15,12,17,8,3,0,55,26.7,5,2.56,0,60,T
80064,BIOL 3910,"Maxwell, Robert",2,2,1,1,1,0,7,40.0,2,2.43,1,10,T
