CRN,Course,Professor,A  (90-100),B  (80-89),C  (70-79),D  (60-69),F <60,WF,A- WF,DWF,W,CRS AVG,Other,Total,Instruction Method
10001,AAS 2010,"Fannin, Lauren",23,18,6,1,10,0,58,29.0,9,2.72,2,69,E
10003,AAS 3050,"Lewis, Ciera",7,4,0,0,1,0,12,7.7,0,3.33,1,13,E
10005,ACCT 2102,"Potts, Casey",111,111,59,11,11,0,303,12.2,18,2.99,6,327,E
10006,ACCT 4210,"Xu, Ke",12,13,13,0,4,0,42,13.6,2,2.64,0,44,T
10007,ACCT 4210,"Majerczyk, Michael",16,15,7,0,4,0,42,15.6,3,2.88,0,45,F
10009,ACCT 4391,"Clark, Kris",15,0,0,0,0,0,15,0.0,0,4.13,0,15,T
10011,ACCT 8391,"Clark, Kris",6,1,0,0,0,0,7,0.0,0,3.86,0,7,T
10016,AL 8920,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,19,19,H
10019,ANTH 1102,"Turner-Livermore, Bethany",34,14,10,2,0,0,60,6.5,2,3.38,0,62,E
10020,ANTH 2020,"Papavasiliou, Faidra",27,18,12,2,1,0,60,6.5,1,3.15,1,62,E
10023,ANTH 8065,"Patico, Jennifer",0,0,0,0,0,0,0,0.0,0,,24,24,H
10068,BA 8510,"Maurer, Todd",0,0,0,0,0,0,0,0.6,2,,321,323,T
10069,BA 9000,"Yao, Wenxiong",0,0,0,0,0,0,0,1.9,1,,53,54,T
10070,BA 9500,"Yao, Wenxiong",0,0,0,0,0,0,0,0.0,0,,18,18,T
10071,BA 9510,"Maurer, Todd",0,0,0,0,0,0,0,0.0,0,,20,20,T
10072,BCOM 3950,"Pearson, Joseph",18,6,4,0,2,0,30,26.3,8,3.27,0,38,F
10073,BCOM 3950,"Costello, Jan",5,16,2,1,4,0,28,37.8,9,2.61,0,37,F
10074,BCOM 3950,"Cross, Marcia",19,7,6,1,1,0,34,15.8,4,3.21,0,38,F
10075,BCOM 3950,"Walker, John",20,8,1,1,2,0,32,23.7,6,3.31,0,38,F
