CRN,Course,Professor,A  (90-100),B  (80-89),C  (70-79),D  (60-69),F <60,WF,A- WF,DWF,W,CRS AVG,Other,Total,Instruction Method
80002,ECON 2100,"Moore, Robert",20,4,0,0,0,0,24,4.0,1,4.04,0,25,T
80003,ECON 2100,"Ross, Glenwood",16,16,25,10,1,0,68,21.6,5,2.60,1,74,T
80005,AAS 3050,"Cormier, Jacque-Corey",1,4,4,0,0,0,9,10.0,1,2.67,0,10,T
80010,AL 8920,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,13,13,T
80011,AL 8930,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,20,20,T
80012,AL 8940,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,19,19,T
80015,ANTH 2020,"Papavasiliou, Faidra",24,25,6,3,0,0,58,9.8,3,3.21,0,61,T
80016,ANTH 2020,"Papavasiliou, Faidra",30,11,9,1,3,0,54,16.7,6,3.17,0,60,T
80017,ANTH 4830,"White, Cassandra",6,0,0,0,0,0,6,0.0,0,4.17,0,6,T
80019,ANTH 8065,"Kozaitis, Kathryn",0,0,0,0,0,0,0,0.0,0,,27,27,T
80023,ANTH 8999,"Kozaitis, Kathryn",0,0,0,0,0,0,0,0.0,0,,7,7,T
80053,ART 1010,"Ford, Larkin",12,3,4,0,1,0,20,4.6,0,3.20,2,22,T
80054,ART 1010,"Lee, Nuni",15,4,0,0,0,0,19,5.0,1,3.79,0,20,T
80056,ART 1020,"Tepper, Kirstie",8,8,0,0,0,0,16,20.0,4,3.50,0,20,T
80057,ART 1030,"Harvey, Wesley",16,1,0,0,0,0,17,5.6,1,4.06,0,18,T
80058,ART 1030,"Mondragon, Nathaniel",14,2,0,1,1,0,18,11.1,0,3.50,0,18,T
80059,ASTR 1000,"McGimsey, Ben",14,20,7,2,6,0,49,20.0,3,2.73,3,55,T
80067,BIOL 2300,"Beirne, Mark",9,18,14,3,0,0,44,39.1,24,2.82,1,69,T
80068,BIOL 3800,"Artinian, Liana",8,20,14,2,0,0,44,23.6,11,2.75,0,55,T
80069,BIOL 3810,"Sitvarin, Michael",7,4,3,0,1,0,15,26.3,4,3.07,0,19,T
80070,BIOL 3840,"Nusnbaum, Matthew",10,20,13,1,1,1,46,22.8,10,2.72,1,57,T
80072,BIOL 3880,"Maxwell, Robert",16,15,6,5,1,0,43,19.6,3,2.95,0,46,T
80073,BIOL 3900,"Zellars, Malcolm",20,8,8,3,6,0,45,20.0,0,2.73,0,45,T
80074,BIOL 3900,"Zellars, Malcolm",13,22,12,5,7,0,59,26.2,5,2.56,1,65,T
