CRN,Course,Professor,A  (90-100),B  (80-89),C  (70-79),D  (60-69),F <60,WF,A- WF,DWF,W,CRS AVG,Other,Total,Instruction Method
10002,AAS 2010,"Bascomb, Lia",5,19,17,6,9,0,56,28.8,2,2.07,1,59,T
10003,AAS 2010,"Herman, Cameron",30,14,9,1,3,0,57,8.6,1,3.19,0,58,T
10004,AAS 2010,"Morris, Jamae",19,22,9,3,2,0,55,16.7,5,2.89,0,60,T
10005,AAS 3050,"Cormier, Jacque-Corey",5,6,2,0,0,0,13,13.3,2,3.15,0,15,T
10007,AAS 3500,"Frackenpohl, David",4,1,3,0,0,0,8,11.1,1,3.25,0,9,T
10008,AAS 3810,"Carter, Marva",13,1,0,0,0,0,14,0.0,0,4.07,0,14,T
10010,ACCT 2102,"Partridge, Kathleen",74,130,111,5,6,0,326,5.1,6,2.80,0,332,T
10011,ACCT 2102,"Partridge, Kathleen",46,98,84,15,18,0,261,17.7,16,2.54,0,277,T
10012,ACCT 4210,"Majerczyk, Michael",9,14,16,2,1,0,42,17.0,5,2.71,0,47,T
10013,ACCT 4210,"Lill, Jeremy",7,3,10,1,2,0,23,20.0,2,2.39,0,25,T
10014,ACCT 4310,"Borthick, A.",2,9,6,0,1,0,18,37.0,9,2.56,0,27,T
10016,ACCT 4391,"Sevcik, Galen",8,2,3,0,0,0,13,0.0,0,3.46,0,13,T
10017,ACCT 4510,"Fenn, Christopher",6,12,11,2,0,0,31,14.7,3,2.74,0,34,T
10018,ACCT 8090,"Blunck, Ryan",6,6,0,0,0,0,12,0.0,0,3.50,0,12,T
10020,ACCT 8391,"Sevcik, Galen",14,0,0,0,1,0,15,6.7,0,3.93,0,15,T
10021,ACCT 9100,"Fang, Xiaohua",7,0,0,0,0,0,7,0.0,0,4.00,0,7,T
10022,AE 2300,"Davenport, Melanie",6,3,0,0,0,0,9,10.0,1,3.67,0,10,T
10029,AL 8920,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,19,19,T
10030,AL 8930,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,31,31,T
10031,AL 8940,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,26,26,T
10032,ANTH 1102,"Woodfill, Brent",38,25,14,5,2,0,84,12.4,4,3.08,1,89,T
10033,ANTH 1102,"Green, Adam",7,7,15,3,0,0,32,8.3,0,2.53,4,36,T
10034,ANTH 2020,"Papavasiliou, Faidra",21,20,11,1,1,0,54,5.5,1,3.09,0,55,T
10036,ANTH 6999,"Kozaitis, Kathryn",7,0,0,0,0,0,7,0.0,0,4.00,0,7,T
10037,ANTH 8065,"Kozaitis, Kathryn",0,0,0,0,0,0,0,0.0,0,,22,22,T
10041,ANTH 8999,"Kozaitis, Kathryn",0,0,0,0,0,0,0,0.0,0,,19,19,T
10078,AS 4140,"Peng, Liang",7,18,10,0,6,0,41,16.7,1,2.41,0,42,T
10081,ASTR 1000,"Wingert, David",15,24,26,2,4,0,71,20.5,11,2.56,1,83,T
10082,ASTR 1010,"Wingert, David",3,10,10,0,1,0,24,8.0,1,2.58,0,25,T
10086,ASTR 1010,"Wingert, David",8,6,3,3,2,0,22,29.2,2,2.68,0,24,T
10090,ASTR 1010,"Gies, Douglas",2,5,11,1,4,0,23,25.0,1,1.96,0,24,T
10091,ASTR 1010,"Gies, Douglas",8,12,3,0,0,0,23,4.2,1,3.17,0,24,T
10093,ASTR 1010,"McGimsey, Ben",4,7,3,0,3,0,17,16.7,0,2.47,1,18,T
10094,ASTR 1010,"McGimsey, Ben",2,8,1,2,1,0,14,31.3,2,2.57,0,16,T
10095,ASTR 1010,"McGimsey, Ben",5,10,4,1,0,0,20,9.5,1,3.05,0,21,T
10098,ASTR 1020,"Henry, Todd",3,7,5,6,1,0,22,37.5,2,2.23,0,24,T
10103,ASTR 1020,"McGimsey, Ben",9,7,6,3,0,0,25,12.0,0,2.84,0,25,T
10105,ASTR 1020,"Henry, Todd",0,9,2,2,2,0,15,38.9,3,2.20,0,18,T
10106,ASTR 1020,"Henry, Todd",0,3,4,0,1,0,8,30.0,2,2.13,0,10,T
10108,ASTR 1020,"Henry, Todd",7,7,8,2,0,0,24,8.3,0,2.88,0,24,T
10109,ASTR 1020,"White, Russel",7,11,3,1,1,0,23,8.7,0,2.96,0,23,T
10110,ASTR 1020,"White, Russel",4,7,5,1,3,0,20,20.0,0,2.35,0,20,T
10111,ASTR 1020,"White, Russel",8,9,3,1,1,0,22,8.7,0,3.05,1,23,T
10116,BA 8510,",",0,0,0,0,0,0,0,0.0,0,,319,319,T
10117,BA 9000,"Lambert, Lisa",0,0,0,0,0,0,0,0.0,0,,61,61,T
10118,BA 9500,"Lambert, Lisa",0,0,0,0,0,0,0,0.0,0,,25,25,T
10119,BA 9510,",",0,0,0,0,0,0,0,0.0,0,,16,16,T
10120,BCOM 3950,"Willis, Linda",7,8,0,0,0,0,15,31.8,7,3.40,0,22,T
10121,BCOM 3950,"Hawley, Carolyn",14,11,0,0,0,0,25,0.0,0,3.60,0,25,T
10122,BCOM 3950,"Willis, Linda",5,10,7,0,0,0,22,4.2,1,2.91,1,24,T
10123,BCOM 3950,"Ritter, Ann",13,9,2,0,0,0,24,4.0,1,3.42,0,25,T
