CRN,Course,Professor,A  (90-100),B  (80-89),C  (70-79),D  (60-69),F <60,WF,A- WF,DWF,W,CRS AVG,Other,Total,Instruction Method
80001,ECON 2100,"Moore, Robert",19,5,1,0,0,0,25,0.0,0,3.88,0,25,T
80002,ECON 2100,"Yedgenov, Bauyrzhan",30,9,6,2,2,0,49,10.0,1,3.37,0,50,T
80003,ECON 2100,"Ross, Glenwood",13,24,10,1,1,0,49,6.0,1,3.00,0,50,T
80010,AL 8920,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,15,15,T
80011,AL 8930,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,19,19,T
80012,AL 8940,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,20,20,T
80014,ANTH 1102,"Falconi, Elizabeth",16,24,9,1,0,0,50,9.3,4,3.08,0,54,T
80015,ANTH 2020,"Papavasiliou, Faidra",18,16,14,2,4,0,54,20.0,6,2.80,0,60,T
80016,ANTH 2020,"Papavasiliou, Faidra",23,19,11,2,2,0,57,10.2,2,3.02,0,59,T
80018,ANTH 6999,"Kozaitis, Kathryn",8,0,0,0,0,0,8,0.0,0,4.00,0,8,T
80019,ANTH 8065,"Kozaitis, Kathryn",0,0,0,0,0,0,0,0.0,0,,23,23,T
80023,ANTH 8999,"Kozaitis, Kathryn",0,0,0,0,0,0,0,0.0,0,,11,11,T
80053,ART 1010,"Flowers, Timothy",13,6,1,0,0,0,20,4.8,1,3.65,0,21,T
80054,ART 1010,"Downs, William",18,1,0,0,0,0,19,4.8,1,4.00,1,21,T
80055,ART 1010,"Ford, Larkin",16,2,0,0,0,0,18,0.0,0,3.94,0,18,T
80056,ART 1020,"Terpstra, Wesley",16,0,1,0,0,0,17,0.0,0,3.82,0,17,T
80057,ART 1030,"Roberts, John",13,4,0,0,0,0,17,0.0,0,3.71,1,18,T
80058,ART 1030,"Cieplowski, Tyler",9,3,2,1,0,0,15,11.8,1,3.33,1,17,T
80059,ASTR 1000,"McGimsey, Ben",12,13,11,4,2,1,43,26.0,6,2.70,1,50,T
80060,ASTR 4000,"Wingert, David",5,2,1,1,1,0,10,20.0,0,2.80,0,10,T
80062,ASTR 6000,"Wingert, David",13,2,0,0,0,0,15,0.0,0,3.80,0,15,T
80067,BIOL 2240,"Song, Chi-Sun",8,8,10,0,3,0,29,18.8,3,2.62,0,32,T
80068,BIOL 2300,"Lu, Fuhua",6,10,13,7,22,0,58,60.8,16,1.50,0,74,T
80073,BIOL 3800,"Song, Chi-Sun",19,16,6,4,2,0,47,16.3,2,3.02,0,49,T
80074,BIOL 3810,"Cruz, Francisco",15,2,3,1,2,0,23,16.7,1,3.17,0,24,T
80075,BIOL 3840,"Nusnbaum, Matthew",7,14,17,4,1,0,43,19.2,4,2.49,0,47,T
80076,BIOL 3850,"Reber, Amy",5,5,2,0,0,0,12,0.0,0,3.33,0,12,T
80077,BIOL 3880,"Maxwell, Robert",16,6,7,2,0,0,31,9.1,1,3.23,1,33,T
80080,BIOL 3900,"Zellars, Malcolm",7,12,12,4,5,0,40,31.1,5,2.35,0,45,T
80081,BIOL 3900,"Zellars, Malcolm",21,5,11,3,4,0,44,20.8,3,2.91,1,48,T
80082,BIOL 3910,"Maxwell, Robert",6,5,0,0,0,0,11,8.3,1,3.64,0,12,T
80083,BIOL 3910,"Maxwell, Robert",16,2,2,0,0,0,20,4.8,1,3.70,0,21,T
80084,BIOL 4480,"Murray, Henry",15,53,21,3,0,0,92,4.2,1,2.84,2,95,T
80086,BIOL 4744,"Bondarenko, Vladimir",16,1,2,1,1,0,21,13.6,1,3.48,0,22,T
80089,BIOL 6102,"Roseberry, Aaron",8,8,3,0,0,0,19,13.0,3,3.32,1,23,T
80090,BIOL 6480,"Murray, Henry",4,15,2,0,0,0,21,0.0,0,3.14,0,21,T
80091,BIOL 6696,"Zellars, Malcolm",13,0,0,0,0,0,13,7.1,1,4.15,0,14,T
80094,BIOL 7802,"Brewer, Matthew",0,0,0,0,0,0,0,0.0,0,,8,8,T
80102,BIOL 8550,"Pierce, George",0,0,0,0,0,0,0,7.3,3,,38,41,T
80103,BIOL 8620,"Brinton, Margo",2,5,0,1,0,0,8,25.0,2,2.88,2,12,T
80104,BIOL 8700,"Walthall, Walter",0,0,0,0,0,0,0,0.0,0,,52,52,T
80107,3DS 3050,"Florence, Michelle",6,1,1,1,0,0,9,25.0,2,3.33,1,12,T
80108,3DS 3150,"Roberts, John",5,1,1,0,1,0,8,30.0,2,3.00,0,10,T
80110,CHEM 1151 K,"Fernando, Nilmi",7,11,3,0,1,0,22,12.5,2,3.00,0,24,T
80111,CHEM 1151 K,"Fernando, Nilmi",5,3,1,0,1,0,10,16.7,1,3.00,1,12,T
80112,CHEM 1151 K,"Fernando, Nilmi",7,1,6,4,2,0,20,46.2,6,2.35,0,26,T
80113,CHEM 1151 K,"Fernando, Nilmi",6,7,7,0,0,0,20,16.7,4,3.00,0,24,T
80114,CHEM 1151 K,"Stroeva, Elina",8,7,5,0,2,0,22,16.7,2,2.82,0,24,T
80115,CHEM 1151 K,"Stroeva, Elina",5,10,5,0,0,0,20,9.1,2,3.00,0,22,T
80116,CHEM 1151 K,"Stroeva, Elina",4,2,5,1,0,0,12,14.3,1,2.67,1,14,T
80117,CHEM 1151 K,"Stroeva, Elina",3,5,2,0,0,0,10,16.7,2,3.10,0,12,T
80121,CHEM 1211 K,"Guo, Weiwei",7,19,14,0,2,0,42,16.7,6,2.67,0,48,T
80122,CHEM 1211 K,"Guo, Weiwei",5,7,13,0,0,0,25,13.3,4,2.72,1,30,T
80123,CHEM 1211 K,"Guo, Weiwei",2,1,4,0,0,0,7,0.0,0,2.57,1,8,T
80124,CHEM 1211 K,"Guo, Weiwei",5,8,6,1,0,0,20,17.4,3,2.85,0,23,T
80125,CHEM 1211 K,"Guo, Weiwei",2,8,5,0,5,0,20,37.5,4,2.05,0,24,T
80126,CHEM 1211 K,"Lecroix, Brian",6,1,6,0,2,0,15,23.5,2,2.60,0,17,T
80127,CHEM 1211 K,"Lecroix, Brian",4,5,12,0,1,0,22,12.5,2,2.45,0,24,T
80128,CHEM 1211 K,"Lecroix, Brian",4,11,7,0,6,0,28,35.3,6,2.29,0,34,T
