CRN,Course,Professor,A  (90-100),B  (80-89),C  (70-79),D  (60-69),F <60,WF,A- WF,DWF,W,CRS AVG,Other,Total,Instruction Method
50001,KH 3550,"Brandon, Leslie",3,5,5,0,2,0,15,23.5,2,2.40,0,17,E
50002,KH 3650,"Doyle, James",10,4,1,0,0,0,15,6.3,1,3.73,0,16,E
50003,KH 4290,"Ingalls, Christopher",2,4,5,0,1,0,12,8.3,0,2.50,0,12,E
50005,ACCT 2101,"Clark, Kris",20,20,8,1,2,0,51,21.3,10,3.08,0,61,E
50007,ACCT 2102,"Potts, Casey",20,22,17,2,0,0,61,4.8,1,3.00,1,63,E
50008,ACCT 4310,"Jones, Lynn",7,13,2,0,0,1,23,33.3,11,3.09,2,36,E
50009,ACCT 4391,"Clark, Kris",7,1,0,0,0,0,8,0.0,0,3.88,0,8,E
50011,AL 3021,"D'Arienzo, Meredith",6,6,1,0,0,0,13,13.3,2,3.38,0,15,E
50013,AL 8920,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,7,7,E
50017,AL 8940,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,7,7,E
50020,AS 4389,"Orfanos, Stefanos",11,0,0,0,0,0,11,0.0,0,4.00,0,11,E
50025,ASTR 7010,"McGimsey, Ben",8,1,0,0,0,0,9,0.0,0,4.00,0,9,E
50033,BA 8510,",",0,0,0,0,0,0,0,0.0,0,,155,155,E
50034,BA 9000,"Yao, Wenxiong",0,0,0,0,0,0,0,0.0,0,,38,38,E
50035,BA 9500,"Yao, Wenxiong",0,0,0,0,0,0,0,0.0,0,,10,10,E
50037,BCOM 3950,"Sims, Ashia",24,6,2,1,0,0,33,13.5,4,3.61,0,37,E
50038,BCOM 3950,"Cross, Marcia",19,7,5,1,0,0,32,13.9,4,3.38,0,36,E
50039,BCOM 3950,"Guthrie, Kenneth",18,9,4,0,0,0,31,8.8,3,3.39,0,34,E
50040,BCOM 3950,"May, Frank",23,10,1,1,0,0,35,5.6,1,3.49,0,36,E
50041,BIOL 2310,"Maxwell, Robert",14,2,3,0,0,0,19,17.4,4,3.63,0,23,E
50042,BIOL 2310,"Maxwell, Robert",10,2,1,0,2,0,15,35.0,5,3.13,0,20,E
50043,BIOL 3810,"Cruz, Francisco",17,3,0,0,1,0,21,13.0,2,3.71,0,23,E
50047,BIOL 3910,"Maxwell, Robert",14,15,2,2,3,0,36,25.6,6,2.94,1,43,E
50060,BUSA 2106,"Binder, Perry",25,23,6,0,0,0,54,3.6,2,3.31,0,56,E
50061,BUSA 3000,"Carrillo, Pedro",44,10,0,0,0,0,54,6.7,4,3.74,2,60,E
50062,BUSA 3000,"Pinho, Maria Luiza",49,3,3,0,1,0,56,3.5,1,3.71,0,57,E
50063,BUSA 3000,"Dakhli, Mourad",26,21,5,2,3,0,57,10.0,1,3.09,2,60,F
50064,BUSA 4980,"Dionne, Steven",12,25,5,0,1,0,43,4.4,1,3.12,1,45,E
50065,CHEM 1211 K,"Thota, Jyotsna",20,12,12,0,1,0,45,8.2,3,3.13,1,49,E
50066,CHEM 1211 K,"Thota, Jyotsna",16,13,13,3,4,0,49,16.0,1,2.69,0,50,E
50067,CHEM 1212 K,"Stroeva, Elina",10,15,8,0,4,0,37,27.7,9,2.68,1,47,E
50068,CHEM 3110,"Pascoe, Keith",41,4,0,0,0,0,45,4.2,2,4.04,1,48,E
50070,CHEM 4600,"Mariani, Victoria",14,29,48,0,4,0,95,22.5,23,2.53,2,120,E
50072,CHEM 6600,"Mariani, Victoria",6,9,3,0,1,0,19,14.3,2,3.05,0,21,E
50079,CHEM 8910,"Henary, Maged",0,0,0,0,0,0,0,0.0,0,,9,9,E
50093,CIS 2010,"Maier, Thomas",69,53,10,3,10,0,145,15.9,12,3.10,0,157,E
50124,ENGL 1101,"Gylys, Beth",6,5,6,0,3,0,20,18.2,1,2.55,1,22,E
50125,ENGL 1101,"Harwood, Grace",8,7,6,1,1,0,23,8.3,0,2.87,1,24,E
50126,ENGL 1102,"Stuhr, Tanya",11,7,3,0,1,0,22,8.0,1,3.23,2,25,E
50127,ENGL 1102,"Shaw, Ashley",7,8,3,2,5,0,25,33.3,2,2.44,0,27,E
50128,ENGL 1102,"Taylor, Kenya",4,10,2,5,2,0,23,34.6,2,2.39,1,26,E
50129,ENGL 1102,"Meredith, Lydia",12,5,1,0,1,0,19,24.0,5,3.37,1,25,E
50130,ENGL 1102,"Jordan, James",6,5,1,1,4,0,17,33.3,1,2.47,0,18,E
50131,ENGL 1102,"Burns, Robert",24,1,0,2,0,0,27,7.4,0,3.74,0,27,E
50132,ENGL 1102,"Banerjee, Abhik",17,2,1,0,2,0,22,16.7,2,3.32,0,24,E
50135,ENGL 8999,"Kocela, Christopher",0,0,0,0,0,0,0,0.0,0,,68,68,E
50137,ENGL 9030,"Kocela, Christopher",0,0,0,0,0,0,0,0.0,0,,70,70,E
50138,FI 3300,"Huang, Lixin",9,25,13,1,0,0,48,10.9,5,2.94,2,55,E
50140,FI 3300,"Beard, David",48,3,2,0,2,0,55,10.2,4,3.89,0,59,E
50141,FI 3300,"Beard, David",40,7,1,0,3,1,52,17.2,6,3.63,0,58,E
50142,FI 4000,"Shrikhande, Milind",17,33,3,0,1,0,54,8.6,4,3.19,0,58,E
50145,FREN 1001,"Beasley, Darius",12,8,3,2,1,0,26,20.7,3,3.15,0,29,E
50165,HA 8810,"Cameron, Marie",0,0,0,0,0,0,0,0.0,0,,9,9,E
50167,HADM 3010,"Kim, Soon-Ho",55,4,0,0,1,0,60,4.8,2,3.83,0,62,F
50170,HIST 1111,"Jury, Joanna",19,17,3,3,3,0,45,16.3,2,3.00,2,49,E
50171,HIST 2110,"Conner, Robin",8,2,4,0,2,0,16,12.5,0,3.00,0,16,E
50174,HIST 8680,"Keller, Chad",0,0,0,0,0,0,0,0.0,0,,6,6,E
50178,HIST 9999,"Cummings, Alexander",0,0,0,0,0,0,0,0.0,0,,32,32,E
50194,MATH 1111,"Van Der Holst, Hendricus",14,2,5,0,1,0,22,22.6,6,3.36,3,31,E
50195,MATH 1113,"Van Der Holst, Hendricus",20,6,5,3,2,0,36,15.0,1,3.19,3,40,E
50196,MATH 2211,"Grant, Shanah",10,13,9,2,4,0,38,22.2,4,2.61,3,45,E
50197,MATH 2211,"Miller, Valerie",3,12,9,4,5,0,33,44.2,10,2.12,0,43,E
50198,MATH 2211,"Grinshpon, Mark",11,9,6,7,4,0,37,37.8,6,2.43,2,45,E
50199,MATH 2212,"Fanoe, Andrew",8,15,13,3,3,0,42,18.2,2,2.55,0,44,E
50200,MATH 2212,"Grinshpon, Mark",8,9,5,2,8,0,32,45.2,9,2.22,1,42,E
50201,MATH 2420,"Li, Zhongshan",18,12,9,3,5,1,48,25.0,4,2.75,0,52,E
50202,MATH 3000,"Yao, Yongwei",9,6,3,5,2,0,25,35.7,3,2.64,0,28,E
50203,MATH 4435,"Montiel, Mariana",8,3,2,0,0,0,13,13.3,2,3.38,0,15,E
50204,MATH 4752,"Harden, Donald",9,4,4,1,0,0,18,19.1,3,3.28,0,21,E
50206,MATH 6435,"Montiel, Mariana",10,6,0,0,0,0,16,5.9,1,3.69,0,17,E
50207,MATH 6752,"Harden, Donald",6,0,0,0,0,0,6,14.3,1,4.33,0,7,E
50211,MK 3010,"Lohtia, Ritu",18,31,3,0,0,0,52,5.5,3,3.35,0,55,E
50213,MK 4330,"Curasi, Carolyn",6,23,8,4,0,0,41,19.2,5,2.71,1,47,E
50215,MK 4900,"Mayberry, Robert",12,8,1,0,0,0,21,0.0,0,3.57,1,22,E
50217,MUA 1500,"Vernick, Gordon",34,14,2,0,4,0,54,13.8,4,3.39,0,58,E
50218,MUA 1930,"Albo, Francisco",38,12,3,0,1,0,54,5.1,2,3.61,3,59,E
50226,PHIL 2010,"Berdit, Bridget",16,10,3,1,0,0,30,9.1,2,3.37,1,33,E
50227,PHIL 2010,"Garrett, John",8,11,8,0,1,0,28,6.9,1,2.93,0,29,E
50228,PHIL 8960,"Okeefe, Timothy",0,0,0,0,0,0,0,0.0,0,,22,22,E
50241,PSYC 3140,"Anderson, Page",54,22,8,0,3,0,87,4.5,1,3.45,1,89,E
50242,PSYC 4100,"Sellers, Patrick",21,20,9,0,0,0,50,2.0,1,3.22,0,51,E
50248,PSYC 8999,"Tully, Erin",0,0,0,0,0,0,0,0.0,0,,15,15,E
50249,PSYC 8999,"Tully, Erin",0,0,0,0,0,0,0,0.0,0,,11,11,E
50258,PSYC 9950 E,"Mckee, Laura",0,0,0,0,0,0,0,0.0,0,,26,26,E
50267,PSYC 9980,"Tully, Erin",0,0,0,0,0,0,0,0.0,0,,12,12,E
50269,PSYC 9999,"Tully, Erin",0,0,0,0,0,0,0,0.0,0,,32,32,E
